# original TSV file minus the entries in the pending..
# set of the entries required for simultaneous key-combos..
k		い
q		ぱ
w		け
e		こ
r		て
t		ー
a		は
s		か
d		し
f		と
g		た
z		せ
c		に
v		な
b		さ
y		ぽ
u		ん
i		り
o		つ
p		づ
h		く
j		う
;		き
n		っ
m		る
,		す
.		ら
/		ち
l		の
x		お
@		ゔ
いq	ぁ
ぱk	ぁ
いw	み
けk	み
いe	え
こk	え
いr	や
てk	や
いt	ぃ
ーk	ぃ
いa	ろ
はk	ろ
いs	れ
かk	れ
いd	も
しk	も
いf	あ
とk	あ
いg	よ
たk	よ
いz	ぇ
せk	ぇ
いc	へ
にk	へ
いv	ほ
なk	ほ
いb	ぉ
さk	ぉ
しy	ぅ
ぽd	ぅ
しu	ぬ
んd	ぬ
しi	そ
りd	そ
しo	ふ
つd	ふ
しp	ゎ
づd	ゎ
しh	め
くd	め
しj	わ
うd	わ
し;	ゆ
きd	ゆ
しn	ひ
っd	ひ
しm	む
るd	む
し,	ゃ
すd	ゃ
し.	ゅ
らd	ゅ
し/	ょ
ちd	ょ
のw	げ
けl	げ
のe	ご
こl	ご
のr	で
てl	で
のt	ぴ
ーl	ぴ
のa	ば
はl	ば
のs	が
かl	が
のd	じ
しl	じ
のf	ど
とl	ど
のg	だ
たl	だ
のz	ぜ
せl	ぜ
のx	ね
おl	ね
のc	べ
にl	べ
のv	ぼ
なl	ぼ
のb	ざ
さl	ざ
かu	ぷ
んs	ぷ
かi	ぞ
りs	ぞ
かo	ぶ
つs	ぶ
かh	ぐ
くs	ぐ
かj	ま
うs	ま
か;	ぎ
きs	ぎ
かn	び
っs	び
かm	ぺ
るs	ぺ
か,	ず
すs	ず
か/	ぢ
ちs	ぢ
りq	くゎ
ぱi	くゎ
りw	きぇ
けi	きぇ
りe	すぃ
こi	すぃ
りr	しゃ
てi	しゃ
りt	ちゃ
ーi	ちゃ
りa	くぁ
はi	くぁ
りf	しょ
とi	しょ
りg	ちょ
たi	ちょ
りz	くぃ
せi	くぃ
りx	くぇ
おi	くぇ
りc	くぉ
にi	くぉ
りv	しゅ
なi	しゅ
りb	ちゅ
さi	ちゅ
こy	ひゃ
ぽe	ひゃ
こu	きゃ
んe	きゃ
こh	ひょ
くe	ひょ
こj	きょ
うe	きょ
こ;	ひぇ
きe	ひぇ
こn	ひゅ
っe	ひゅ
こm	きゅ
るe	きゅ
こ,	てゃ
すe	てゃ
こ.	てゅ
らe	てゅ
こ/	てょ
ちe	てょ
つq	ぐゎ
ぱo	ぐゎ
つw	ぎぇ
けo	ぎぇ
つe	ずぃ
こo	ずぃ
つr	じゃ
てo	じゃ
つt	ぢゃ
ーo	ぢゃ
つa	ぐぁ
はo	ぐぁ
つf	じょ
とo	じょ
つg	ぢょ
たo	ぢょ
つz	ぐぃ
せo	ぐぃ
つx	ぐぇ
おo	ぐぇ
つc	ぐぉ
にo	ぐぉ
つv	じゅ
なo	じゅ
つb	ぢゅ
さo	ぢゅ
けy	びゃ
ぽw	びゃ
けu	ぎゃ
んw	ぎゃ
けh	びょ
くw	びょ
けj	ぎょ
うw	ぎょ
け;	びぇ
きw	びぇ
けn	びゅ
っw	びゅ
けm	ぎゅ
るw	ぎゅ
け,	でゃ
すw	でゃ
け.	でゅ
らw	でゅ
け/	でょ
ちw	でょ
きq	りぇ
ぱ;	りぇ
きr	りゃ
て;	りゃ
きt	みゃ
ー;	みゃ
きa	つぁ
は;	つぁ
きf	りょ
と;	りょ
きg	みょ
た;	みょ
きz	つぃ
せ;	つぃ
きx	つぇ
お;	つぇ
きc	つぉ
に;	つぉ
きv	りゅ
な;	りゅ
きb	みゅ
さ;	みゅ
はy	ぴゃ
ぽa	ぴゃ
はu	にゃ
んa	にゃ
はp	ぴぇ
づa	ぴぇ
はh	ぴょ
くa	ぴょ
はj	にょ
うa	にょ
はn	ぴゅ
っa	ぴゅ
はm	にゅ
るa	にゅ
は,	いぇ
すa	いぇ
は.	にぇ
らa	にぇ
は/	みぇ
ちa	みぇ
うr	しぇ
てj	しぇ
うt	じぇ
ーj	じぇ
うf	を
とj	を
うg	てぃ
たj	てぃ
うz	うぃ
せj	うぃ
うx	うぇ
おj	うぇ
うc	うぉ
にj	うぉ
うv	ふぁ
なj	ふぁ
うb	ふぃ
さj	ふぃ
とy	ぢぇ
ぽf	ぢぇ
とu	ちぇ
んf	ちぇ
とh	でぃ
くf	でぃ
とn	ふぇ
っf	ふぇ
とm	ふぉ
るf	ふぉ
と,	とぅ
すf	とぅ
と.	どぅ
らf	どぅ
と/	ふゅ
ちf	ふゅ
ゔa	ゔぁ
は@	ゔぁ
ゔs	ゔぃ
か@	ゔぃ
ゔd	ゔゅ
し@	ゔゅ
ゔf	ゔぇ
と@	ゔぇ
ゔg	ゔぉ
た@	ゔぉ
けe	（
こw	（
こr	！
てe	！
こd	；
しe	；
てf	〜
とr	〜
かd	「
しs	「
しf	で
とd	で
とg	／
たf	／
おc	｛
にx	｛
にv	，
なc	，
しv	＠
なd	＠
りo	）
つi	）
んi	？
りu	？
んh	＊
くu	＊
くj	・
うh	・
うk	。
いj	。
いl	」
のk	」
っk	￥
いn	￥
る,	．
すm	．
す.	｝
ら,	｝
# set of the entries for timeout..
し{!}	し
き{!}	き
ら{!}	ら
っ{!}	っ
ー{!}	ー
ゔ{!}	ゔ
う{!}	う
つ{!}	つ
ぱ{!}	ぱ
さ{!}	さ
お{!}	お
け{!}	け
に{!}	に
ち{!}	ち
す{!}	す
は{!}	は
た{!}	た
く{!}	く
こ{!}	こ
づ{!}	づ
る{!}	る
の{!}	の
ぽ{!}	ぽ
と{!}	と
て{!}	て
な{!}	な
い{!}	い
り{!}	り
せ{!}	せ
ん{!}	ん
か{!}	か
